anime,end,information,score,start
Natsume Yuujinchou Shi,2012,"|TV (13 eps)|Jan 2012 - Mar 2012|186,967 members|",8.68,2012
Violet Evergarden Movie,2020,"|Movie (1 eps)|Sep 2020 - Sep 2020|164,320 members|",8.68,2020
Tengen Toppa Gurren Lagann,2007,"|TV (27 eps)|Apr 2007 - Sep 2007|1,168,282 members|",8.67,2007
Ashita no Joe 2,1981,"|TV (47 eps)|Oct 1980 - Aug 1981|28,441 members|",8.67,1980
Hajime no Ippo: New Challenger,2009,"|TV (26 eps)|Jan 2009 - Jul 2009|194,148 members|",8.67,2009
Howl no Ugoku Shiro,2004,"|Movie (1 eps)|Nov 2004 - Nov 2004|793,707 members|",8.67,2004
Suzumiya Haruhi no Shoushitsu,2010,"|Movie (1 eps)|Feb 2010 - Feb 2010|471,759 members|",8.66,2010
Yakusoku no Neverland,2019,"|TV (12 eps)|Jan 2019 - Mar 2019|956,415 members|",8.66,2019
Natsume Yuujinchou Roku,2017,"|TV (11 eps)|Apr 2017 - Jun 2017|129,448 members|",8.65,2017
Ookami Kodomo no Ame to Yuki,2012,"|Movie (1 eps)|Jul 2012 - Jul 2012|587,869 members|",8.65,2012
Kimetsu no Yaiba,2019,"|TV (26 eps)|Apr 2019 - Sep 2019|1,235,666 members|",8.65,2019
Death Note,2007,"|TV (37 eps)|Oct 2006 - Jun 2007|2,410,185 members|",8.63,2006
Mushishi Zoku Shou: Suzu no Shizuku,2015,"|Movie (1 eps)|May 2015 - May 2015|92,764 members|",8.63,2015
Ping Pong the Animation,2014,"|TV (11 eps)|Apr 2014 - Jun 2014|251,905 members|",8.63,2014
Violet Evergarden,2018,"|TV (13 eps)|Jan 2018 - Apr 2018|953,473 members|",8.63,2018
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,2019,"|TV (39 eps)|Oct 2018 - Jul 2019|483,941 members|",8.62,2018
Kizumonogatari II: Nekketsu-hen,2016,"|Movie (1 eps)|Aug 2016 - Aug 2016|289,901 members|",8.62,2016
Yojouhan Shinwa Taikei,2010,"|TV (11 eps)|Apr 2010 - Jul 2010|294,119 members|",8.61,2010
Natsume Yuujinchou San,2011,"|TV (13 eps)|Jul 2011 - Sep 2011|194,471 members|",8.6,2011
Shouwa Genroku Rakugo Shinjuu,2016,"|TV (13 eps)|Jan 2016 - Apr 2016|216,169 members|",8.6,2016
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,2019,"|Movie (1 eps)|Jan 2019 - Jan 2019|183,085 members|",8.6,2019
Fate/Zero 2nd Season,2012,"|TV (12 eps)|Apr 2012 - Jun 2012|773,654 members|",8.6,2012
Haikyuu!!: To the Top 2nd Season,2020,"|TV (12 eps)|Oct 2020 - Dec 2020|275,767 members|",8.6,2020
Hajime no Ippo: Rising,2014,"|TV (25 eps)|Oct 2013 - Mar 2014|168,210 members|",8.6,2013
Kimi no Suizou wo Tabetai,2018,"|Movie (1 eps)|Sep 2018 - Sep 2018|382,160 members|",8.6,2018
Bakuman. 3rd Season,2013,"|TV (25 eps)|Oct 2012 - Mar 2013|260,726 members|",8.59,2012
Natsume Yuujinchou Go,2016,"|TV (11 eps)|Oct 2016 - Dec 2016|130,325 members|",8.59,2016
One Punch Man,2015,"|TV (12 eps)|Oct 2015 - Dec 2015|1,979,366 members|",8.59,2015
Sora yori mo Tooi Basho,2018,"|TV (13 eps)|Jan 2018 - Mar 2018|325,187 members|",8.58,2018
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,2009,"|Movie (1 eps)|Apr 2009 - Apr 2009|164,370 members|",8.58,2009
Mushishi: Hihamukage,2014,"|Special (1 eps)|Jan 2014 - Jan 2014|101,929 members|",8.58,2014
Kara no Kyoukai 5: Mujun Rasen,2008,"|Movie (1 eps)|Aug 2008 - Aug 2008|183,942 members|",8.57,2008
Zoku Natsume Yuujinchou,2009,"|TV (13 eps)|Jan 2009 - Mar 2009|195,341 members|",8.57,2009
Shingeki no Kyojin Season 3,2018,"|TV (12 eps)|Jul 2018 - Oct 2018|1,044,111 members|",8.56,2018
Haikyuu!!,2014,"|TV (25 eps)|Apr 2014 - Sep 2014|1,072,073 members|",8.56,2014
Ansatsu Kyoushitsu 2nd Season,2016,"|TV (25 eps)|Jan 2016 - Jul 2016|826,088 members|",8.55,2016
Fruits Basket 2nd Season,2020,"|TV (25 eps)|Apr 2020 - Sep 2020|167,457 members|",8.55,2020
