anime,end,information,score,start
Coquelicot-zaka kara,2011,"|Movie (1 eps)|Jul 2011 - Jul 2011|115,703 members|",7.87,2011
Danshi Koukousei no Nichijou Specials,2012,"|Special (6 eps)|Apr 2012 - Sep 2012|100,761 members|",7.87,2012
Flanders no Inu (Movie),1997,"|Movie (1 eps)|Mar 1997 - Mar 1997|16,808 members|",7.87,1997
Gungrave,2004,"|TV (26 eps)|Oct 2003 - Mar 2004|150,778 members|",7.87,2003
Igano Kabamaru,1984,"|TV (24 eps)|Oct 1983 - Mar 1984|8,593 members|",7.87,1983
Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,2016,"|OVA (1 eps)|Jun 2016 - Jun 2016|257,111 members|",7.87,2016
Les Misérables: Shoujo Cosette,2007,"|TV (52 eps)|Jan 2007 - Dec 2007|20,635 members|",7.87,2007
Musekinin Kanchou Tylor,1993,"|TV (26 eps)|Jan 1993 - Jul 1993|37,242 members|",7.87,1993
Planetarian: Hoshi no Hito,2016,"|Movie (1 eps)|Sep 2016 - Sep 2016|34,406 members|",7.87,2016
Seihou Bukyou Outlaw Star,1998,"|TV (24 eps)|Jan 1998 - Jun 1998|122,703 members|",7.87,1998
Seitokai Yakuindomo Movie,2017,"|Movie (1 eps)|Jul 2017 - Jul 2017|39,873 members|",7.87,2017
Tasogare Otome x Amnesia,2012,"|TV (12 eps)|Apr 2012 - Jun 2012|308,541 members|",7.87,2012
Wotaku ni Koi wa Muzukashii OVA,2021,"|OVA (2 eps)|Mar 2019 - Feb 2021|80,562 members|",7.86,2019
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),2017,"|TV (12 eps)|Jul 2017 - Sep 2017|528,356 members|",7.86,2017
Yuru Yuri♪♪,2012,"|TV (12 eps)|Jul 2012 - Sep 2012|146,558 members|",7.86,2012
Baby Steps,2014,"|TV (25 eps)|Apr 2014 - Sep 2014|118,765 members|",7.86,2014
Isekai no Seikishi Monogatari,2010,"|OVA (13 eps)|May 2009 - May 2010|153,954 members|",7.86,2009
Kono Oto Tomare!,2019,"|TV (13 eps)|Apr 2019 - Jun 2019|129,472 members|",7.86,2019
Little Witch Academia,2013,"|Movie (1 eps)|Mar 2013 - Mar 2013|256,375 members|",7.86,2013
Magi: Sinbad no Bouken,2015,"|OVA (5 eps)|May 2014 - Jul 2015|99,535 members|",7.86,2014
Mahoujin Guruguru (2017),2017,"|TV (24 eps)|Jul 2017 - Dec 2017|27,348 members|",7.86,2017
Maria-sama ga Miteru 3rd,2007,"|OVA (5 eps)|Dec 2006 - Jul 2007|18,158 members|",7.86,2006
Bishoujo Senshi Sailor Moon S,1995,"|TV (38 eps)|Mar 1994 - Feb 1995|108,188 members|",7.85,1994
Break Blade 5: Shisen no Hate,2011,"|Movie (1 eps)|Jan 2011 - Jan 2011|50,878 members|",7.85,2011
Detective Conan Movie 07: Crossroad in the Ancient Capital,2003,"|Movie (1 eps)|Apr 2003 - Apr 2003|38,561 members|",7.85,2003
Devilman: Crybaby,2018,"|ONA (10 eps)|Jan 2018 - Jan 2018|583,705 members|",7.85,2018
Douluo Dalu,2018,"|ONA (26 eps)|Jan 2018 - Jul 2018|14,115 members|",7.85,2018
Giant Robo the Animation: Chikyuu ga Seishi Suru Hi,1998,"|OVA (7 eps)|Jul 1992 - Jan 1998|20,686 members|",7.85,1992
Goku Sayonara Zetsubou Sensei,2009,"|OVA (3 eps)|Oct 2008 - Feb 2009|55,991 members|",7.85,2008
InuYasha,2004,"|TV (167 eps)|Oct 2000 - Sep 2004|557,862 members|",7.85,2000
Jormungand,2012,"|TV (12 eps)|Apr 2012 - Jun 2012|262,186 members|",7.85,2012
Jungle wa Itsumo Hare nochi Guu,2001,"|TV (26 eps)|Apr 2001 - Sep 2001|29,321 members|",7.85,2001
K-On!!: Keikaku!,2011,"|Special (1 eps)|Mar 2011 - Mar 2011|92,162 members|",7.85,2011
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),2007,"|Movie (1 eps)|Dec 2007 - Dec 2007|185,102 members|",7.85,2007
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,2017,"|Movie (1 eps)|Feb 2017 - Feb 2017|23,897 members|",7.85,2017
Michiko to Hatchin,2009,"|TV (22 eps)|Oct 2008 - Mar 2009|144,201 members|",7.85,2008
Osomatsu-san Movie,2019,"|Movie (1 eps)|Mar 2019 - Mar 2019|8,952 members|",7.85,2019
Saint☆Oniisan (Movie),2013,"|Movie (1 eps)|May 2013 - May 2013|66,275 members|",7.85,2013
Nodame Cantabile: Finale - Mine to Kiyora no Saikai,2010,"|Special (1 eps)|Apr 2010 - Apr 2010|36,410 members|",7.84,2010
Saiyuuki Gaiden,2011,"|OVA (3 eps)|Mar 2011 - Nov 2011|10,986 members|",7.84,2011
Seikai no Senki II,2001,"|TV (10 eps)|Jul 2001 - Sep 2001|19,887 members|",7.84,2001
Slayers Try,1997,"|TV (26 eps)|Apr 1997 - Sep 1997|46,186 members|",7.84,1997
91 Days,2016,"|TV (12 eps)|Jul 2016 - Oct 2016|441,600 members|",7.84,2016
Colorful (Movie),2010,"|Movie (1 eps)|Aug 2010 - Aug 2010|138,290 members|",7.84,2010
Gakuen Babysitters,2018,"|TV (12 eps)|Jan 2018 - Mar 2018|151,035 members|",7.84,2018
Hataraku Maou-sama!,2013,"|TV (13 eps)|Apr 2013 - Jun 2013|1,007,403 members|",7.84,2013
Hidamari Sketch x 365,2008,"|TV (13 eps)|Jul 2008 - Sep 2008|26,922 members|",7.84,2008
Hidamari Sketch x ☆☆☆ Specials,2010,"|Special (2 eps)|Oct 2010 - Oct 2010|12,593 members|",7.84,2010
Higashi no Eden,2009,"|TV (11 eps)|Apr 2009 - Jun 2009|442,584 members|",7.84,2009
Hoozuki no Reitetsu 2nd Season: Sono Ni,2018,"|TV (13 eps)|Apr 2018 - Jul 2018|20,304 members|",7.84,2018
K-On!,2009,"|TV (13 eps)|Apr 2009 - Jun 2009|741,057 members|",7.84,2009
K-On!: Live House!,2010,"|Special (1 eps)|Jan 2010 - Jan 2010|119,580 members|",7.84,2010
Bungou Stray Dogs: Dead Apple,2018,"|Movie (1 eps)|Mar 2018 - Mar 2018|122,409 members|",7.83,2018
Capeta,2006,"|TV (52 eps)|Oct 2005 - Sep 2006|19,529 members|",7.83,2005
Detective Conan Movie 08: Time Travel of the Silver Sky,2004,"|Special (1 eps)|Apr 2004 - Apr 2004|15,718 members|",7.83,2004
Detective Conan Movie 09: Strategy Above the Depths,2005,"|Movie (1 eps)|Apr 2005 - Apr 2005|36,709 members|",7.83,2005
Detective Conan Movie 12: Full Score of Fear,2008,"|Movie (1 eps)|Apr 2008 - Apr 2008|34,907 members|",7.83,2008
Gochuumon wa Usagi Desu ka??,2015,"|TV (12 eps)|Oct 2015 - Dec 2015|96,604 members|",7.83,2015
Innocence,2004,"|Movie (1 eps)|Mar 2004 - Mar 2004|131,081 members|",7.83,2004
Jungle wa Itsumo Hare nochi Guu Deluxe,2003,"|OVA (6 eps)|Aug 2002 - Jan 2003|11,061 members|",7.83,2002
Kubikiri Cycle: Aoiro Savant to Zaregototsukai,2017,"|OVA (8 eps)|Oct 2016 - Sep 2017|74,836 members|",7.83,2016
Last Exile,2003,"|TV (26 eps)|Apr 2003 - Sep 2003|147,142 members|",7.83,2003
Lucky☆Star: Original na Visual to Animation,2008,"|OVA (1 eps)|Sep 2008 - Sep 2008|114,116 members|",7.83,2008
Lupin the IIIrd: Jigen Daisuke no Bohyou,2014,"|Movie (1 eps)|Jun 2014 - Jun 2014|19,385 members|",7.83,2014
Macross F Movie 1: Itsuwari no Utahime,2009,"|Movie (1 eps)|Nov 2009 - Nov 2009|26,672 members|",7.83,2009
Maria-sama ga Miteru 4th,2009,"|TV (13 eps)|Jan 2009 - Mar 2009|17,691 members|",7.83,2009
New Initial D Movie: Legend 3 - Mugen,2016,"|Movie (1 eps)|Feb 2016 - Feb 2016|15,862 members|",7.83,2016
Non Non Biyori Repeat: Hotaru ga Tanoshinda,2016,"|OVA (1 eps)|Sep 2016 - Sep 2016|30,614 members|",7.83,2016
Owarimonogatari 2nd Season Recaps,2017,"|Special (2 eps)|Aug 2017 - Aug 2017|16,425 members|",7.83,2017
Paradise Kiss,2005,"|TV (12 eps)|Oct 2005 - Dec 2005|143,524 members|",7.83,2005
Saiyuuki Reload: Burial,2008,"|OVA (3 eps)|Apr 2007 - Mar 2008|11,040 members|",7.83,2007
Somali to Mori no Kamisama,2020,"|TV (12 eps)|Jan 2020 - Mar 2020|179,899 members|",7.83,2020
Yuusha-Ou GaoGaiGar,1998,"|TV (49 eps)|Feb 1997 - Jan 1998|16,278 members|",7.83,1997
Saraiya Goyou,2010,"|TV (12 eps)|Apr 2010 - Jul 2010|69,133 members|",7.82,2010
Shingeki no Kyojin OVA,2014,"|OVA (3 eps)|Dec 2013 - Aug 2014|278,583 members|",7.82,2013
Urusei Yatsura Movie 2: Beautiful Dreamer,1984,"|Movie (1 eps)|Feb 1984 - Feb 1984|12,506 members|",7.82,1984
Wolf's Rain,2003,"|TV (26 eps)|Jan 2003 - Jul 2003|263,483 members|",7.82,2003
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 2 - Tamashii,2017,"|Movie (1 eps)|Apr 2017 - Apr 2017|10,873 members|",7.82,2017
Akudama Drive,2020,"|TV (12 eps)|Oct 2020 - Dec 2020|154,363 members|",7.82,2020
Break Blade 3: Kyoujin no Ato,2010,"|Movie (1 eps)|Sep 2010 - Sep 2010|54,043 members|",7.82,2010
Cardcaptor Sakura: Clear Card-hen Prologue - Sakura to Futatsu no Kuma,2017,"|OVA (1 eps)|Sep 2017 - Sep 2017|31,920 members|",7.82,2017
City Hunter 3,1990,"|TV (13 eps)|Oct 1989 - Jan 1990|14,139 members|",7.82,1989
Code Geass: Hangyaku no Lelouch R2 Special Edition - Zero Requiem,2009,"|OVA (1 eps)|Jul 2009 - Jul 2009|39,018 members|",7.82,2009
Densetsu Kyojin Ideon: Hatsudou-hen,1982,"|Movie (1 eps)|Jul 1982 - Jul 1982|6,315 members|",7.82,1982
Detective Conan Movie 23: The Fist of Blue Sapphire,2019,"|Movie (1 eps)|Apr 2019 - Apr 2019|14,392 members|",7.82,2019
Emiya-san Chi no Kyou no Gohan,2019,"|ONA (13 eps)|Jan 2018 - Jan 2019|80,863 members|",7.82,2018
Junjou Romantica OVA,2015,"|OVA (2 eps)|Dec 2012 - Dec 2015|42,108 members|",7.82,2012
Kokoro Connect,2012,"|TV (13 eps)|Jul 2012 - Sep 2012|603,712 members|",7.82,2012
Kyou kara Maou! 3rd Series,2009,"|TV (39 eps)|Apr 2008 - Feb 2009|27,945 members|",7.82,2008
Love Live! School Idol Project 2nd Season,2014,"|TV (13 eps)|Apr 2014 - Jun 2014|198,445 members|",7.82,2014
Magic Kaito,2012,"|Special (12 eps)|Apr 2010 - Dec 2012|54,304 members|",7.82,2010
Mobile Suit Gundam Wing: Endless Waltz Movie,1998,"|Movie (1 eps)|Aug 1998 - Aug 1998|49,246 members|",7.82,1998
Ghost Hunt,2007,"|TV (25 eps)|Oct 2006 - Mar 2007|190,283 members|",7.81,2006
Ginga Tetsudou 999,1981,"|TV (113 eps)|Sep 1978 - Apr 1981|24,863 members|",7.81,1978
Golden Kamuy,2018,"|TV (12 eps)|Apr 2018 - Jun 2018|199,303 members|",7.81,2018
Gundam Build Fighters,2014,"|TV (25 eps)|Oct 2013 - Mar 2014|57,586 members|",7.81,2013
Neko no Ongaeshi,2002,"|Movie (1 eps)|Jul 2002 - Jul 2002|179,602 members|",7.81,2002
Sekaiichi Hatsukoi,2011,"|TV (12 eps)|Apr 2011 - Jun 2011|167,118 members|",7.81,2011
Shiki Specials,2011,"|Special (2 eps)|May 2011 - Jun 2011|58,681 members|",7.81,2011
Tentai Senshi Sunred,2009,"|TV (26 eps)|Oct 2008 - Mar 2009|19,081 members|",7.81,2008
The Everlasting Guilty Crown,2012,"|Music (1 eps)|Mar 2012 - Mar 2012|27,497 members|",7.81,2012
Tiger & Bunny Movie 2: The Rising,2014,"|Movie (1 eps)|Feb 2014 - Feb 2014|23,099 members|",7.81,2014
Tokyo Ghoul,2014,"|TV (12 eps)|Jul 2014 - Sep 2014|1,765,304 members|",7.81,2014
Toshokan Sensou: Kakumei no Tsubasa,2012,"|Movie (1 eps)|Jun 2012 - Jun 2012|19,411 members|",7.81,2012
Zan Sayonara Zetsubou Sensei Bangaichi,2010,"|OVA (2 eps)|Nov 2009 - Feb 2010|33,893 members|",7.81,2009
New Initial D Movie: Legend 2 - Tousou,2015,"|Movie (1 eps)|May 2015 - May 2015|17,603 members|",7.8,2015
Overlord II,2018,"|TV (13 eps)|Jan 2018 - Apr 2018|609,745 members|",7.8,2018
Saenai Heroine no Sodatekata ♭,2017,"|TV (11 eps)|Apr 2017 - Jun 2017|223,757 members|",7.8,2017
Seitokai Yakuindomo OVA,2013,"|OVA (8 eps)|Apr 2011 - Oct 2013|104,546 members|",7.8,2011
Shiki,2010,"|TV (22 eps)|Jul 2010 - Dec 2010|450,738 members|",7.8,2010
Tamayura: Sotsugyou Shashin Part 3 - Akogare,2015,"|Movie (1 eps)|Nov 2015 - Nov 2015|7,094 members|",7.8,2015
Aggressive Retsuko (ONA) 2nd Season,2019,"|ONA (10 eps)|Jun 2019 - Jun 2019|61,206 members|",7.8,2019
Akagami no Shirayuki-hime,2015,"|TV (12 eps)|Jul 2015 - Sep 2015|431,302 members|",7.8,2015
Bleach,2012,"|TV (366 eps)|Oct 2004 - Mar 2012|1,222,959 members|",7.8,2004
Chuan Shu Zijiu Zhinan,2020,"|ONA (10 eps)|Sep 2020 - Oct 2020|5,352 members|",7.8,2020
Detective Conan Movie 22: Zero The Enforcer,2018,"|Movie (1 eps)|Apr 2018 - Apr 2018|16,798 members|",7.8,2018
Digimon Adventure,2000,"|TV (54 eps)|Mar 1999 - Mar 2000|314,547 members|",7.8,1999
Enen no Shouboutai: Ni no Shou,2020,"|TV (24 eps)|Jul 2020 - Dec 2020|293,109 members|",7.8,2020
Hadashi no Gen,1983,"|Movie (1 eps)|Jul 1983 - Jul 1983|35,077 members|",7.8,1983
Haikyuu!!: Riku vs. Kuu,2020,"|OVA (2 eps)|Jan 2020 - Jan 2020|136,105 members|",7.8,2020
Heartcatch Precure!,2011,"|TV (49 eps)|Feb 2010 - Jan 2011|23,389 members|",7.8,2010
Hidamari Sketch x SP,2011,"|Special (2 eps)|Oct 2011 - Nov 2011|12,202 members|",7.8,2011
Hoozuki no Reitetsu,2014,"|TV (13 eps)|Jan 2014 - Apr 2014|101,836 members|",7.8,2014
IDOLiSH7,2018,"|TV (17 eps)|Jan 2018 - May 2018|36,350 members|",7.8,2018
InuYasha Movie 3: Tenka Hadou no Ken,2003,"|Movie (1 eps)|Dec 2003 - Dec 2003|78,108 members|",7.8,2003
Lupin III vs. Detective Conan,2009,"|Special (1 eps)|Mar 2009 - Mar 2009|26,271 members|",7.8,2009
Lupin III: Part II,1980,"|TV (155 eps)|Oct 1977 - Oct 1980|23,470 members|",7.8,1977
Mind Game,2004,"|Movie (1 eps)|Aug 2004 - Aug 2004|59,112 members|",7.8,2004
BanG Dream! Garupa☆Pico,2018,"|TV (26 eps)|Jul 2018 - Dec 2018|14,103 members|",7.79,2018
Bungou Stray Dogs,2016,"|TV (12 eps)|Apr 2016 - Jun 2016|721,720 members|",7.79,2016
Charlotte,2015,"|TV (13 eps)|Jul 2015 - Sep 2015|976,332 members|",7.79,2015
Detective Conan OVA 10: Kid in Trap Island,2010,"|OVA (1 eps)|Apr 2010 - Apr 2010|14,248 members|",7.79,2010
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",2016,"|TV (12 eps)|Jan 2016 - Mar 2016|397,941 members|",7.79,2016
Gekkan Shoujo Nozaki-kun Specials,2015,"|Special (6 eps)|Sep 2014 - Feb 2015|104,401 members|",7.79,2014
Gochuumon wa Usagi Desu ka??: Dear My Sister,2017,"|Movie (1 eps)|Nov 2017 - Nov 2017|28,161 members|",7.79,2017
Ie Naki Ko,1978,"|TV (51 eps)|Oct 1977 - Oct 1978|10,132 members|",7.79,1977
Jin-Rou,2000,"|Movie (1 eps)|Jun 2000 - Jun 2000|120,837 members|",7.79,2000
Jinrui wa Suitai Shimashita,2012,"|TV (12 eps)|Jul 2012 - Sep 2012|155,361 members|",7.79,2012
Junjou Romantica 3,2015,"|TV (12 eps)|Jul 2015 - Sep 2015|87,837 members|",7.79,2015
Karakai Jouzu no Takagi-san,2018,"|TV (12 eps)|Jan 2018 - Mar 2018|338,260 members|",7.79,2018
Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,2005,"|Movie (1 eps)|Feb 2005 - Feb 2005|45,549 members|",7.79,2005
"Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai",2017,"|Special (1 eps)|Sep 2017 - Sep 2017|117,798 members|",7.79,2017
Kyoukai no Kanata,2013,"|TV (12 eps)|Oct 2013 - Dec 2013|810,014 members|",7.79,2013
Kyousou Giga (TV),2013,"|TV (10 eps)|Oct 2013 - Dec 2013|143,755 members|",7.79,2013
Little Witch Academia: Mahoujikake no Parade,2015,"|Movie (1 eps)|Oct 2015 - Oct 2015|140,727 members|",7.79,2015
Mobile Suit Gundam,1980,"|TV (43 eps)|Apr 1979 - Jan 1980|93,965 members|",7.79,1979
Mobile Suit Gundam SEED,2003,"|TV (50 eps)|Oct 2002 - Sep 2003|136,932 members|",7.79,2002
New Initial D Movie: Legend 1 - Kakusei,2014,"|Movie (1 eps)|Aug 2014 - Aug 2014|22,693 members|",7.79,2014
Oniisama e...,1992,"|TV (39 eps)|Jul 1991 - May 1992|27,581 members|",7.79,1991
Tegamibachi Reverse,2011,"|TV (25 eps)|Oct 2010 - Mar 2011|52,948 members|",7.79,2010
The Disappearance of Conan Edogawa: The Worst Two Days in History,2014,"|Special (1 eps)|Dec 2014 - Dec 2014|9,481 members|",7.79,2014
Yuru Yuri Nachuyachumi!+,2015,"|Special (2 eps)|Aug 2015 - Sep 2015|43,403 members|",7.79,2015
Noragami OVA,2014,"|OVA (2 eps)|Feb 2014 - Jul 2014|243,219 members|",7.78,2014
Saint Seiya,1989,"|TV (114 eps)|Oct 1986 - Apr 1989|140,150 members|",7.78,1986
Shaman King,2002,"|TV (64 eps)|Jul 2001 - Sep 2002|286,200 members|",7.78,2001
Shokugeki no Souma: Shin no Sara,2019,"|TV (12 eps)|Oct 2019 - Dec 2019|319,957 members|",7.78,2019
Sidonia no Kishi: Daikyuu Wakusei Seneki,2015,"|TV (12 eps)|Apr 2015 - Jun 2015|100,428 members|",7.78,2015
Uchuu Senkan Yamato 2199: Hoshimeguru Hakobune,2014,"|Movie (1 eps)|Dec 2014 - Dec 2014|10,857 members|",7.78,2014
Baka to Test to Shoukanjuu Ni!,2011,"|TV (13 eps)|Jul 2011 - Sep 2011|306,943 members|",7.78,2011
Chuunibyou demo Koi ga Shitai!,2012,"|TV (12 eps)|Oct 2012 - Dec 2012|900,027 members|",7.78,2012
City Hunter '91,1991,"|TV (13 eps)|Apr 1991 - Oct 1991|14,008 members|",7.78,1991
Claymore,2007,"|TV (26 eps)|Apr 2007 - Sep 2007|528,297 members|",7.78,2007
Genshiken 2,2007,"|TV (12 eps)|Oct 2007 - Dec 2007|72,126 members|",7.78,2007
Golden Time,2014,"|TV (24 eps)|Oct 2013 - Mar 2014|643,829 members|",7.78,2013
Hibike! Euphonium Movie 3: Chikai no Finale,2019,"|Movie (1 eps)|Apr 2019 - Apr 2019|36,137 members|",7.78,2019
Lupin the Third: Mine Fujiko to Iu Onna,2012,"|TV (13 eps)|Apr 2012 - Jun 2012|46,563 members|",7.78,2012
Mobile Suit Gundam III: Encounters in Space,1982,"|Movie (1 eps)|Mar 1982 - Mar 1982|21,811 members|",7.78,1982
Berserk: Ougon Jidai-hen I - Haou no Tamago,2012,"|Movie (1 eps)|Feb 2012 - Feb 2012|158,769 members|",7.77,2012
Digimon Adventure: Bokura no War Game!,2000,"|Movie (1 eps)|Mar 2000 - Mar 2000|61,542 members|",7.77,2000
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",2019,"|TV (12 eps)|Jan 2019 - Mar 2019|122,556 members|",7.77,2019
Final Fantasy VII: Advent Children,2005,"|Movie (1 eps)|Sep 2005 - Sep 2005|187,857 members|",7.77,2005
Hakuouki Movie 2: Shikon Soukyuu,2014,"|Movie (1 eps)|Mar 2014 - Mar 2014|17,530 members|",7.77,2014
Hanasakeru Seishounen,2010,"|TV (39 eps)|Apr 2009 - Feb 2010|56,452 members|",7.77,2009
Jibaku Shounen Hanako-kun,2020,"|TV (12 eps)|Jan 2020 - Mar 2020|243,723 members|",7.77,2020
Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D,2011,"|Movie (1 eps)|Mar 2011 - Mar 2011|13,050 members|",7.77,2011
Kuroshitsuji,2009,"|TV (24 eps)|Oct 2008 - Mar 2009|832,261 members|",7.77,2008
Lucky☆Star,2007,"|TV (24 eps)|Apr 2007 - Sep 2007|516,745 members|",7.77,2007
New Game!!,2017,"|TV (12 eps)|Jul 2017 - Sep 2017|192,080 members|",7.77,2017
Pokemon: The Origin,2013,"|Special (4 eps)|Oct 2013 - Oct 2013|174,022 members|",7.77,2013
Ranma ½,1992,"|TV (161 eps)|Apr 1989 - Sep 1992|187,896 members|",7.77,1989
Saint Seiya: Meiou Hades Meikai-hen,2007,"|OVA (12 eps)|Dec 2005 - Feb 2007|38,563 members|",7.77,2005
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,2015,"|Movie (1 eps)|Aug 2015 - Aug 2015|7,489 members|",7.77,2015
Tantei Gakuen Q,2004,"|TV (45 eps)|Apr 2003 - Mar 2004|27,621 members|",7.77,2003
Tong Ling Fei,2019,"|ONA (16 eps)|Nov 2018 - Apr 2019|14,440 members|",7.77,2018
Ueki no Housoku,2006,"|TV (51 eps)|Apr 2005 - Mar 2006|95,156 members|",7.77,2005
Zhen Hun Jie,2016,"|ONA (24 eps)|Apr 2016 - Oct 2016|18,178 members|",7.77,2016
Rurouni Kenshin DVD-BOX Special Ending,2007,"|Special (1 eps)|2007 - 2007|15,260 members|",7.76,2007
School Rumble: Ichi Gakki Hoshuu,2005,"|OVA (2 eps)|Dec 2005 - Dec 2005|51,937 members|",7.76,2005
Seto no Hanayome,2007,"|TV (26 eps)|Apr 2007 - Oct 2007|264,532 members|",7.76,2007
Slayers,1995,"|TV (26 eps)|Apr 1995 - Sep 1995|114,573 members|",7.76,1995
Texhnolyze,2003,"|TV (22 eps)|Apr 2003 - Sep 2003|177,296 members|",7.76,2003
The Last: Naruto the Movie,2014,"|Movie (1 eps)|Dec 2014 - Dec 2014|323,206 members|",7.76,2014
Udon no Kuni no Kiniro Kemari,2016,"|TV (12 eps)|Oct 2016 - Dec 2016|95,850 members|",7.76,2016
Ushiro no Shoumen Daare,1991,"|Movie (1 eps)|Mar 1991 - Mar 1991|8,979 members|",7.76,1991
Yamato Nadeshiko Shichihenge♥,2007,"|TV (25 eps)|Oct 2006 - Mar 2007|130,539 members|",7.76,2006
Arakawa Under the Bridge x Bridge,2010,"|TV (13 eps)|Oct 2010 - Dec 2010|133,409 members|",7.76,2010
Byousoku 5 Centimeter,2007,"|Movie (3 eps)|Mar 2007 - Mar 2007|665,118 members|",7.76,2007
Chi's Sweet Home: Atarashii Ouchi,2009,"|TV (104 eps)|Mar 2009 - Sep 2009|24,233 members|",7.76,2009
D.Gray-man Hallow,2016,"|TV (13 eps)|Jul 2016 - Sep 2016|151,330 members|",7.76,2016
Fairy Tail (2014),2016,"|TV (102 eps)|Apr 2014 - Mar 2016|678,699 members|",7.76,2014
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",2015,"|TV (12 eps)|Jul 2015 - Sep 2015|578,339 members|",7.76,2015
Lupin III: The First,2019,"|Movie (1 eps)|Dec 2019 - Dec 2019|11,934 members|",7.76,2019
Master Keaton OVA,2000,"|OVA (15 eps)|Dec 1999 - Jun 2000|6,954 members|",7.76,1999
Mobile Suit Gundam Wing: Endless Waltz,1997,"|OVA (3 eps)|Jan 1997 - Jul 1997|40,094 members|",7.76,1997
Aoi Bungaku Series,2009,"|TV (12 eps)|Oct 2009 - Dec 2009|163,559 members|",7.75,2009
Black Jack,2011,"|OVA (12 eps)|Dec 1993 - Dec 2011|29,258 members|",7.75,1993
Break Blade 2: Ketsubetsu no Michi,2010,"|Movie (1 eps)|Jun 2010 - Jun 2010|56,840 members|",7.75,2010
Detective Conan Movie 16: The Eleventh Striker,2012,"|Movie (1 eps)|Apr 2012 - Apr 2012|30,697 members|",7.75,2012
Dragon Ball Kai,2011,"|TV (97 eps)|Apr 2009 - Mar 2011|254,038 members|",7.75,2009
Free!: Take Your Marks,2017,"|Movie (1 eps)|Oct 2017 - Oct 2017|43,874 members|",7.75,2017
Hayate no Gotoku!!,2009,"|TV (25 eps)|Apr 2009 - Sep 2009|97,759 members|",7.75,2009
Hidamari Sketch x 365 Specials,2009,"|Special (3 eps)|Mar 2009 - Oct 2009|14,766 members|",7.75,2009
InuYasha: Kuroi Tessaiga,2008,"|Special (1 eps)|Jul 2008 - Jul 2008|29,167 members|",7.75,2008
Kami nomi zo Shiru Sekai,2010,"|TV (12 eps)|Oct 2010 - Dec 2010|494,407 members|",7.75,2010
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,2004,"|TV (373 eps)|Jun 1996 - Dec 2004|11,577 members|",7.75,1996
Little Busters!: EX,2014,"|Special (8 eps)|Jan 2014 - Jul 2014|44,586 members|",7.75,2014
Nejimaki Seirei Senki: Tenkyou no Alderamin,2016,"|TV (13 eps)|Jul 2016 - Oct 2016|239,310 members|",7.75,2016
Psycho-Pass Movie,2015,"|Movie (1 eps)|Jan 2015 - Jan 2015|204,737 members|",7.75,2015
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,2019,"|Movie (1 eps)|Mar 2019 - Mar 2019|53,587 members|",7.75,2019
Ranma ½ OVA,1994,"|OVA (6 eps)|Oct 1993 - Aug 1994|25,740 members|",7.75,1993
Seitokai Yakuindomo*,2014,"|TV (13 eps)|Jan 2014 - Mar 2014|193,580 members|",7.75,2014
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,2018,"|Movie (1 eps)|Jan 2018 - Jan 2018|40,951 members|",7.75,2018
Tetsuwan Birdy Decode:02,2009,"|TV (12 eps)|Jan 2009 - Mar 2009|43,879 members|",7.75,2009
Wan Sheng Jie 2,2020,"|ONA (12 eps)|Oct 2020 - Dec 2020|2,133 members|",7.75,2020
Watashi no Ashinaga Ojisan,1990,"|TV (40 eps)|Jan 1990 - Dec 1990|11,432 members|",7.75,1990
One Punch Man Specials,2016,"|Special (6 eps)|Dec 2015 - May 2016|214,995 members|",7.74,2015
One Punch Man: Road to Hero,2015,"|OVA (1 eps)|Dec 2015 - Dec 2015|228,220 members|",7.74,2015
Rozen Maiden: Ouvertüre,2006,"|Special (2 eps)|Dec 2006 - Dec 2006|54,891 members|",7.74,2006
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,2017,"|TV (12 eps)|Apr 2017 - Jun 2017|263,377 members|",7.74,2017
Ansatsu Kyoushitsu 2nd Season: Kagaijugyou-hen,2016,"|ONA (8 eps)|Mar 2016 - May 2016|46,852 members|",7.74,2016
Asagao to Kase-san.,2018,"|OVA (1 eps)|Jun 2018 - Jun 2018|51,343 members|",7.74,2018
Boku no Hero Academia the Movie 1: Futari no Hero,2018,"|Movie (1 eps)|Aug 2018 - Aug 2018|385,789 members|",7.74,2018
